step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
64,"[-0.02142857 -0.29107143 -0.00363208  0.          0.          0.
 -1.        ]",[ 0.02622267 -0.12055864  1.01212214],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
65,"[-0.01785714 -0.29107143 -0.00323479  0.          0.          0.
 -1.        ]",[ 0.02581052 -0.12418627  1.01197017],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
66,"[-0.01785714 -0.29642857 -0.0027789   0.          0.          0.
 -1.        ]",[ 0.02541109 -0.12786164  1.01180127],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
67,"[-0.01964286 -0.29642857 -0.00227219  0.          0.          0.
 -1.        ]",[ 0.02499375 -0.13157221  1.01162541],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
68,"[-0.02321429 -0.3        -0.00174463  0.          0.          0.
 -1.        ]",[ 0.02454586 -0.13532052  1.01145666],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
69,"[-0.03928571 -0.29464286 -0.00123837  0.          0.          0.
 -1.        ]",[ 0.02400002 -0.13907234  1.01131537],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
70,"[-5.17857143e-02 -3.00000000e-01 -8.14484147e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.02333356 -0.14285492  1.01122594],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
71,"[-7.67857143e-02 -2.85714286e-01 -5.46212938e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.02248705 -0.14659891  1.01119775],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
72,"[-1.03571429e-01 -2.76785714e-01 -4.61623909e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.0214266  -0.15026942  1.01125167],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
73,"[-1.16071429e-01 -2.64285714e-01 -6.23383415e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.02021673 -0.15385286  1.01138511],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
74,"[-0.11428571 -0.27142857 -0.00102371  0.          0.          0.
 -1.        ]",[ 0.01895248 -0.15742191  1.01154951],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
75,"[-0.125      -0.275      -0.00151691  0.          0.          0.
 -1.        ]",[ 0.01760898 -0.16101459  1.01170364],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
76,"[-0.11607143 -0.28571429 -0.00197929  0.          0.          0.
 -1.        ]",[ 0.01624132 -0.16466171  1.01183541],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
77,"[-0.10535714 -0.29107143 -0.00237461  0.          0.          0.
 -1.        ]",[ 0.01491637 -0.16835853  1.01191858],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
78,"[-0.10714286 -0.29642857 -0.00262414  0.          0.          0.
 -1.        ]",[ 0.01360518 -0.17210428  1.01196237],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
79,"[-0.11071429 -0.29285714 -0.00275549  0.          0.          0.
 -1.        ]",[ 0.01226499 -0.17586169  1.011994  ],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
