step,action,eef_pos,good,target_pos,in_target
218,[ 0.08527416  0.3         0.         -1.        ],[-0.13083774 -0.17030091],False,[-0.1421367  -0.23584676],False
219,[ 0.08527416  0.3         0.         -1.        ],[-0.12971079 -0.1663774 ],False,[-0.1421367  -0.23584676],False
220,[ 0.08527416  0.3         0.         -1.        ],[-0.12857779 -0.16245868],False,[-0.1421367  -0.23584676],False
221,[ 0.08527416  0.3         0.         -1.        ],[-0.12744061 -0.15854362],False,[-0.1421367  -0.23584676],False
222,[ 0.08527416  0.3         0.         -1.        ],[-0.12630079 -0.15463114],False,[-0.1421367  -0.23584676],False
223,[ 0.08527416  0.3         0.         -1.        ],[-0.12515953 -0.15072027],False,[-0.1421367  -0.23584676],False
224,[ 0.08527416  0.3         0.         -1.        ],[-0.12401771 -0.14681021],False,[-0.1421367  -0.23584676],False
225,[ 0.08527416  0.3         0.         -1.        ],[-0.12287591 -0.14290034],False,[-0.1421367  -0.23584676],False
226,[ 0.08527416  0.3         0.         -1.        ],[-0.12173449 -0.13899018],False,[-0.1421367  -0.23584676],False
227,[ 0.08527416  0.3         0.         -1.        ],[-0.1205936  -0.13507941],False,[-0.1421367  -0.23584676],False
228,[ 0.08527416  0.3         0.         -1.        ],[-0.11945324 -0.13116785],False,[-0.1421367  -0.23584676],False
229,[ 0.08527416  0.3         0.         -1.        ],[-0.11831331 -0.12725537],False,[-0.1421367  -0.23584676],False
230,[ 0.08527416  0.3         0.         -1.        ],[-0.11717364 -0.12334193],False,[-0.1421367  -0.23584676],False
231,[ 0.08527416  0.3         0.         -1.        ],[-0.11603402 -0.11942754],False,[-0.1421367  -0.23584676],False
232,[ 0.08527416  0.3         0.         -1.        ],[-0.11489422 -0.11551221],False,[-0.1421367  -0.23584676],False
233,[ 0.08527416  0.3         0.         -1.        ],[-0.11375401 -0.11159601],False,[-0.1421367  -0.23584676],False
234,[ 0.08527416  0.3         0.         -1.        ],[-0.11261321 -0.10767898],False,[-0.1421367  -0.23584676],False
235,[ 0.08527416  0.3         0.         -1.        ],[-0.11148446 -0.10375784],False,[-0.1421367  -0.23584676],False
236,[ 0.08527416  0.3         0.         -1.        ],[-0.11038562 -0.09982793],False,[-0.1421367  -0.23584676],False
237,[ 0.08527416  0.3         0.         -1.        ],[-0.10930525 -0.09589203],False,[-0.1421367  -0.23584676],False
238,[ 0.08527416  0.3         0.         -1.        ],[-0.1082388  -0.09195128],False,[-0.1421367  -0.23584676],False
239,[ 0.08527416  0.3         0.         -1.        ],[-0.10718599 -0.08800755],False,[-0.1421367  -0.23584676],False
240,[ 0.08527416  0.3         0.         -1.        ],[-0.10614315 -0.08406175],False,[-0.1421367  -0.23584676],False
241,[ 0.08527416  0.3         0.         -1.        ],[-0.10510742 -0.08011454],False,[-0.1421367  -0.23584676],False
242,[ 0.08527416  0.3         0.         -1.        ],[-0.10407643 -0.07616674],False,[-0.1421367  -0.23584676],False
243,[ 0.08527416  0.3         0.         -1.        ],[-0.10304813 -0.07221911],False,[-0.1421367  -0.23584676],False
244,[ 0.08527416  0.3         0.         -1.        ],[-0.10202732 -0.06827056],False,[-0.1421367  -0.23584676],False
245,[ 0.08527416  0.3         0.         -1.        ],[-0.10101609 -0.06432108],False,[-0.1421367  -0.23584676],False
