step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
77,[0 0 0 0 0 0 1],[-0.16411534  0.00196759  0.9266289   1.        ],[-1.66666928e-01 -7.83179643e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
78,[0 0 0 0 0 0 1],[-0.16438295  0.00184335  0.92648028  1.        ],[-1.66724684e-01  4.24401812e-04  9.24712822e-01],1,1,[0.25 0.25 0.05]
79,[0 0 0 0 0 0 1],[-0.1644164   0.0016448   0.92648736  1.        ],[-1.66793435e-01  8.40355216e-04  9.24667907e-01],1,1,[0.25 0.25 0.05]
80,[0 0 0 0 0 0 1],[-0.16444793  0.00163566  0.92646081  1.        ],[-1.66822729e-01  8.40193987e-04  9.24643030e-01],1,1,[0.25 0.25 0.05]
81,[0 0 0 0 0 0 1],[-0.16446129  0.00160305  0.92643898  1.        ],[-1.66834101e-01  8.42760383e-04  9.24622622e-01],1,1,[0.25 0.25 0.05]
82,[0 0 0 0 0 0 1],[-0.16446574  0.0015958   0.92642639  1.        ],[-1.66836855e-01  8.36924979e-04  9.24611610e-01],1,1,[0.25 0.25 0.05]
83,[0 0 0 0 0 0 1],[-0.16446606  0.00158942  0.92642208  1.        ],[-1.66836062e-01  8.31005641e-04  9.24609020e-01],1,1,[0.25 0.25 0.05]
84,[0 0 0 0 0 0 1],[-0.16446427  0.00158242  0.92642367  1.        ],[-1.66833537e-01  8.25172134e-04  9.24612298e-01],1,1,[0.25 0.25 0.05]
85,[0 0 0 0 0 0 1],[-0.16446182  0.00157512  0.92642881  1.        ],[-1.66830555e-01  8.19310090e-04  9.24619026e-01],1,1,[0.25 0.25 0.05]
86,[0 0 0 0 0 0 1],[-0.16445984  0.00156767  0.92643557  1.        ],[-1.66828092e-01  8.13446849e-04  9.24627202e-01],1,1,[0.25 0.25 0.05]
87,[0 0 0 0 0 0 1],[-0.16445914  0.00156023  0.92644244  1.        ],[-1.66826847e-01  8.07688068e-04  9.24635290e-01],1,1,[0.25 0.25 0.05]
88,[0 0 0 0 0 0 1],[-0.16446021  0.00155292  0.92644834  1.        ],[-1.66827288e-01  8.02063257e-04  9.24642219e-01],1,1,[0.25 0.25 0.05]
89,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16464975  0.0015528   0.92725256  1.        ],[-1.67014007e-01  8.00504688e-04  9.25442676e-01],1,1,[0.25 0.25 0.05]
90,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16516892  0.00155715  0.92869986  1.        ],[-1.67529329e-01  8.04191866e-04  9.26885931e-01],1,1,[0.25 0.25 0.05]
91,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16576206  0.00156237  0.93027557  1.        ],[-1.68119294e-01  8.08893626e-04  9.28459066e-01],1,1,[0.25 0.25 0.05]
92,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.1663271   0.00157031  0.93190167  1.        ],[-1.68681911e-01  8.16399546e-04  9.30083779e-01],1,1,[0.25 0.25 0.05]
93,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.1668339   0.00158022  0.9335681   1.        ],[-1.69186860e-01  8.25923666e-04  9.31749665e-01],1,1,[0.25 0.25 0.05]
94,[0.   0.   0.15 0.   0.   0.   1.  ],[-0.16727566  0.00159154  0.93527349  1.        ],[-1.69627156e-01  8.36887140e-04  9.33455092e-01],1,1,[0.25 0.25 0.05]
