step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
68,"[-0.18571429 -0.32142857 -0.01003151  0.          0.          0.
 -1.        ]",[0.01883299 0.08658004 1.01459092],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
69,"[-0.18928571 -0.31964286 -0.01064114  0.          0.          0.
 -1.        ]",[0.01675852 0.08252013 1.01484832],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
70,"[-0.1875     -0.31964286 -0.01141333  0.          0.          0.
 -1.        ]",[0.01459819 0.07846638 1.01504364],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
71,"[-0.18571429 -0.325      -0.01199929  0.          0.          0.
 -1.        ]",[0.01242473 0.07439794 1.01520807],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
72,"[-0.18928571 -0.325      -0.01249258  0.          0.          0.
 -1.        ]",[0.01016369 0.07030132 1.01528754],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
73,"[-0.19285714 -0.32321429 -0.01273101  0.          0.          0.
 -1.        ]",[0.00781987 0.06621225 1.015315  ],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
74,"[-0.19107143 -0.32321429 -0.01281338  0.          0.          0.
 -1.        ]",[0.00544104 0.06213604 1.01532014],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
75,"[-0.18571429 -0.325      -0.01282881  0.          0.          0.
 -1.        ]",[0.00306309 0.05805134 1.01529222],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
76,"[-0.18571429 -0.32857143 -0.01274503  0.          0.          0.
 -1.        ]",[6.76418892e-04 5.39390783e-02 1.01523099e+00],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
77,"[-0.18571429 -0.32857143 -0.01256135  0.          0.          0.
 -1.        ]",[-0.00172744  0.04981116  1.01515131],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
78,"[-0.18035714 -0.33928571 -0.01232232  0.          0.          0.
 -1.        ]",[-0.00411905  0.04561924  1.01505488],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
79,"[-0.17142857 -0.34464286 -0.01203301  0.          0.          0.
 -1.        ]",[-0.00645666  0.04135052  1.01493534],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
80,"[-0.16607143 -0.35       -0.01167442  0.          0.          0.
 -1.        ]",[-0.00873922  0.03701436  1.01479031],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
